applicant_id,sector,county,quarter,loan_purpose,owner_education_level,business_age_years,num_employees,monthly_revenue_kes,loan_amount_kes,loan_term_months,interest_rate_pct,collateral_value_kes,debt_to_income_ratio,credit_score,num_previous_loans,missed_payments_count,online_presence_score,customer_satisfaction_score,competitor_density,credit_risk_category
470,Manufacturing,Mombasa,Q1,Business Expansion,Diploma,10.3,7,4515824.0,6588844.0,18,19.01,3024487.0,0.404,,2,2,28.4,3.5,5,Low
471,Retail,Nairobi,Q3,Working Capital,Primary,8.7,10,1757569.0,3606196.0,12,16.03,3525404.0,0.145,687.0,2,0,69.9,4.5,6,Low
472,Hospitality,Nairobi,Q3,Equipment Purchase,Diploma,9.2,8,4426530.0,6429086.0,12,17.16,10963656.0,0.672,780.0,1,2,13.3,3.3,5,Low
473,Services,Eldoret,Q2,Inventory Financing,Primary,7.8,7,8368359.0,12175196.0,12,19.62,,0.733,722.0,2,0,31.3,4.4,4,Medium
474,Agriculture,Nairobi,Q2,Working Capital,Masters,5.3,6,856241.0,1731481.0,12,11.45,1891480.0,0.171,532.0,2,1,46.5,4.0,3,Low
475,Agriculture,Kisumu,Q4,Inventory Financing,Diploma,6.0,6,2610671.0,4561130.0,24,15.32,,0.088,741.0,2,2,51.9,3.4,6,Low
476,Manufacturing,Nairobi,Q4,Equipment Purchase,Certificate,7.3,4,1500878.0,2828075.0,36,18.2,3071386.0,0.613,779.0,1,2,60.1,1.3,8,Low
477,Manufacturing,Kisumu,Q3,Working Capital,Bachelors,6.1,9,2331407.0,5172608.0,24,12.61,3693538.0,0.93,669.0,2,0,55.0,3.9,6,Low
478,Agriculture,Mombasa,Q4,Inventory Financing,Bachelors,5.6,9,419380.0,255060.0,18,20.6,130327.0,0.956,,5,0,36.3,3.9,4,High
479,Hospitality,Other,Q1,Working Capital,Bachelors,3.5,7,2558774.0,2930850.0,24,17.19,1634983.0,0.403,774.0,2,1,38.6,3.0,3,Low
480,Retail,Nakuru,Q1,Business Expansion,Secondary,2.5,7,1004139.0,2920193.0,18,16.81,3241609.0,0.598,507.0,3,0,19.2,4.0,8,Medium
481,Hospitality,Eldoret,Q3,Inventory Financing,Primary,4.3,9,2131363.0,4447837.0,24,16.55,7116817.0,0.271,690.0,0,1,71.3,3.7,7,Low
482,Hospitality,Nairobi,Q2,Inventory Financing,Bachelors,2.8,7,2282316.0,7913412.0,18,14.43,,0.293,683.0,2,1,43.8,3.3,2,Medium
483,Hospitality,Nairobi,Q1,Equipment Purchase,Bachelors,1.4,5,2872396.0,2743490.0,60,17.12,2987158.0,0.237,621.0,2,0,91.9,3.8,5,Low
484,Technology,Other,Q1,Working Capital,Secondary,9.4,13,1917846.0,2246719.0,48,14.49,2237378.0,0.313,618.0,7,2,50.9,4.0,4,Low
485,Hospitality,Other,Q2,Equipment Purchase,Certificate,2.2,4,2097971.0,3694913.0,18,14.1,5263704.0,0.448,693.0,1,2,8.0,3.8,8,Low
486,Agriculture,Nakuru,Q2,Working Capital,Certificate,9.2,12,1578333.0,4954495.0,18,15.43,,0.555,850.0,1,0,70.0,3.6,12,Medium
487,Hospitality,Other,Q3,Working Capital,Secondary,7.7,10,715222.0,582832.0,18,19.71,552400.0,0.187,629.0,1,1,42.2,4.7,10,Low
488,Agriculture,Nakuru,Q1,Working Capital,Masters,5.1,9,1217855.0,1649743.0,24,12.6,2892340.0,0.239,736.0,1,0,51.7,4.5,7,Low
489,Technology,Kisumu,Q1,Working Capital,Diploma,13.4,3,1462836.0,4892891.0,12,18.09,,0.407,580.0,0,0,56.1,4.5,4,Medium
490,Services,Mombasa,Q2,Working Capital,Bachelors,1.5,10,1381460.0,2052827.0,48,18.86,2703435.0,0.584,698.0,2,2,24.9,3.5,9,Low
491,Hospitality,Mombasa,Q4,Business Expansion,Diploma,5.4,8,1983775.0,4951705.0,18,15.26,8751625.0,0.282,712.0,3,0,63.8,4.2,2,Low
492,Retail,Mombasa,Q2,Working Capital,Primary,11.9,10,2270295.0,7537899.0,6,14.52,2509023.0,0.167,541.0,1,0,43.1,1.3,8,Low
493,Services,Nairobi,Q2,Business Expansion,Primary,6.4,9,3568858.0,11597714.0,48,17.36,7513765.0,0.705,544.0,1,0,77.8,4.9,5,Low
494,Agriculture,Mombasa,Q1,Equipment Purchase,Secondary,2.8,8,6040132.0,12868310.0,24,13.83,17736511.0,0.119,730.0,1,0,24.8,3.0,8,Low
495,Manufacturing,Kisumu,Q4,Business Expansion,Certificate,1.7,14,889314.0,670061.0,6,10.7,659549.0,0.784,698.0,0,0,23.7,3.5,7,Medium
496,Retail,Nairobi,Q2,Business Expansion,Diploma,5.5,8,1984280.0,5764378.0,24,20.1,4104718.0,0.302,714.0,3,0,65.0,3.6,6,Low
497,Services,Mombasa,Q4,Equipment Purchase,Doctorate,1.4,7,2241189.0,5219506.0,24,11.5,2478756.0,0.583,,2,0,33.2,3.2,6,Low
498,Hospitality,Nairobi,Q4,Inventory Financing,Bachelors,8.7,4,1614122.0,2042869.0,18,13.86,626230.0,0.41,636.0,2,1,47.5,3.8,3,Medium
499,Agriculture,Nakuru,Q1,Business Expansion,Bachelors,7.7,4,2855872.0,2682185.0,12,13.44,2308187.0,0.153,750.0,0,2,68.8,3.6,4,Low
500,Retail,Other,Q1,Inventory Financing,Certificate,0.5,11,406667.0,1220964.0,36,15.19,,0.405,663.0,4,1,39.9,3.7,5,Medium
501,Hospitality,Kisumu,Q1,Business Expansion,Secondary,3.5,13,2675321.0,6529756.0,6,18.32,6526332.0,0.246,597.0,1,1,25.8,,4,Low
502,Services,Nakuru,Q4,Inventory Financing,Diploma,12.0,3,1725254.0,2532714.0,24,14.25,,0.308,621.0,3,1,50.6,4.3,5,Medium
503,Services,Kisumu,Q2,Inventory Financing,Secondary,8.3,6,571114.0,703949.0,48,14.74,949761.0,0.102,704.0,0,1,49.0,3.7,5,Low
504,Agriculture,Nairobi,Q2,Business Expansion,Bachelors,2.2,11,1460959.0,4065810.0,48,16.59,3154922.0,0.537,592.0,1,0,48.7,1.8,7,Low
505,Services,Mombasa,Q1,Working Capital,Bachelors,1.8,7,5773446.0,3085113.0,48,13.8,,0.184,618.0,0,0,40.8,4.7,6,Low
506,Agriculture,Other,Q1,Equipment Purchase,Secondary,1.8,9,1599900.0,4043295.0,12,17.18,2880137.0,0.41,795.0,3,0,31.4,4.3,5,Low
507,Hospitality,Other,Q1,Working Capital,Bachelors,2.6,3,6357506.0,16471911.0,18,19.47,9147135.0,0.372,626.0,3,0,47.3,4.3,10,Low
508,Agriculture,Nairobi,Q4,Business Expansion,Primary,7.0,5,7467694.0,7439559.0,24,17.14,2430219.0,0.032,706.0,2,2,50.7,4.4,10,Low
509,Retail,Nairobi,Q3,Business Expansion,Secondary,6.0,10,2199568.0,3191395.0,24,21.34,5544601.0,0.403,727.0,1,0,52.3,3.0,9,Low
510,Hospitality,Other,Q2,Inventory Financing,Masters,12.3,5,1638271.0,3517742.0,18,17.66,,0.404,633.0,2,0,100.0,2.6,7,Medium
511,Manufacturing,Other,Q3,Working Capital,Diploma,6.9,12,2869026.0,2207083.0,24,17.59,,0.399,640.0,1,2,47.1,3.3,6,Medium
512,Services,Kisumu,Q2,Working Capital,Bachelors,9.9,9,4837280.0,5302981.0,36,8.0,,0.323,592.0,0,0,50.4,2.8,6,Medium
513,Retail,Other,Q1,Business Expansion,Masters,4.4,5,5589134.0,3915630.0,36,14.03,2710790.0,0.545,559.0,2,1,63.4,5.0,5,Low
514,Services,Kisumu,Q2,Business Expansion,Secondary,3.5,14,2205996.0,2785706.0,12,18.63,4294721.0,0.594,712.0,1,2,40.9,3.3,5,Low
515,Services,Other,Q4,Working Capital,Bachelors,2.9,9,1014444.0,2461136.0,18,11.96,,0.175,732.0,0,0,21.8,4.7,8,Medium
516,Agriculture,Nairobi,Q4,Working Capital,Certificate,1.8,8,4548820.0,11955376.0,6,15.03,,0.671,604.0,1,1,25.9,3.5,5,High
517,Retail,Mombasa,Q4,Working Capital,Primary,15.4,6,656899.0,2100281.0,6,18.2,3723478.0,0.146,766.0,1,2,26.3,4.0,10,Low
518,Manufacturing,Nakuru,Q1,Working Capital,Secondary,2.4,3,1517914.0,5345898.0,12,19.07,7756902.0,0.808,661.0,0,0,55.4,3.1,7,Low
519,Retail,Nairobi,Q4,Working Capital,Secondary,10.1,6,2029711.0,6846395.0,12,16.25,,0.31,535.0,1,2,62.8,3.9,5,High
520,Manufacturing,Nakuru,Q1,Working Capital,Diploma,3.7,8,2456237.0,5087714.0,18,15.69,7852804.0,0.286,578.0,1,4,67.5,4.3,8,Low
521,Hospitality,Nairobi,Q1,Working Capital,Diploma,7.3,7,1283018.0,4122567.0,12,16.9,7332158.0,0.216,706.0,1,0,73.5,3.4,8,Low
522,Manufacturing,Nakuru,Q2,Working Capital,Bachelors,7.7,3,2076809.0,3171906.0,6,9.57,,0.398,479.0,3,3,61.1,3.1,5,High
523,Retail,Other,Q2,Working Capital,Secondary,11.6,9,3529807.0,5038802.0,36,16.34,9032053.0,0.703,695.0,1,1,78.3,4.0,5,Low
524,Agriculture,Mombasa,Q1,Working Capital,Bachelors,3.1,3,1820683.0,1859399.0,12,13.08,1210366.0,0.203,691.0,1,2,68.9,2.1,5,Low
525,Agriculture,Other,Q3,Equipment Purchase,Secondary,5.9,8,1083585.0,3549651.0,60,14.78,3773310.0,0.262,747.0,2,0,68.1,3.6,7,Low
526,Manufacturing,Nakuru,Q4,Business Expansion,Secondary,3.7,6,2939073.0,8880827.0,12,11.4,6090821.0,0.432,525.0,0,1,58.0,3.3,2,Low
527,Retail,Eldoret,Q4,Business Expansion,Diploma,7.8,3,2101832.0,4803740.0,24,9.81,3469218.0,0.508,735.0,5,2,84.7,3.1,6,Low
528,Technology,Nairobi,Q2,Business Expansion,Certificate,10.8,9,1057864.0,2380844.0,6,14.95,1576864.0,0.416,740.0,2,0,100.0,3.4,2,Low
529,Hospitality,Nairobi,Q2,Equipment Purchase,Doctorate,2.5,10,1116213.0,1162780.0,18,17.06,1719876.0,0.73,571.0,2,2,12.5,5.0,3,Medium
530,Hospitality,Nakuru,Q3,Working Capital,Secondary,8.8,8,6305875.0,5493229.0,48,16.82,,0.813,691.0,1,0,56.5,3.9,4,Medium
531,Retail,Other,Q2,Working Capital,Secondary,3.9,7,1606413.0,2859102.0,36,11.35,1086144.0,0.344,657.0,4,0,64.4,3.5,7,Medium
532,Retail,Nakuru,Q4,Working Capital,Bachelors,1.2,5,2428169.0,6997472.0,48,13.2,10329131.0,0.406,533.0,0,0,39.2,2.4,4,Low
533,Hospitality,Other,Q2,Inventory Financing,Bachelors,2.4,6,1293954.0,3768627.0,18,12.49,,0.258,,1,0,48.4,4.0,4,Medium
534,Services,Nairobi,Q2,Inventory Financing,Secondary,7.0,14,1699116.0,2901162.0,18,16.77,4481617.0,0.247,637.0,1,0,36.9,3.7,4,Low
535,Manufacturing,Other,Q3,Equipment Purchase,Secondary,5.7,8,1787186.0,3264303.0,6,18.42,2484062.0,0.384,526.0,4,1,45.7,3.5,11,Medium
536,Retail,Other,Q2,Business Expansion,Diploma,2.8,11,1283576.0,3489689.0,6,17.19,1274062.0,0.163,674.0,1,2,40.0,2.0,5,Low
537,Retail,Nakuru,Q4,Business Expansion,Primary,3.9,8,2913824.0,8220638.0,36,17.23,4397718.0,0.256,637.0,0,0,76.7,3.2,3,Low
538,Hospitality,Mombasa,Q3,Inventory Financing,Certificate,5.4,7,3600775.0,3749108.0,18,20.62,4127876.0,0.403,696.0,2,1,41.9,,7,Low
539,Services,Nakuru,Q1,Working Capital,Bachelors,8.7,14,3225132.0,8829418.0,36,15.38,,0.856,680.0,2,2,27.6,5.0,5,High
540,Agriculture,Nairobi,Q3,Inventory Financing,Bachelors,2.3,11,1361357.0,4106519.0,12,15.3,,0.341,605.0,0,2,66.8,2.6,7,Medium
541,Technology,Nakuru,Q2,Business Expansion,Secondary,2.0,9,1168443.0,1182422.0,18,18.58,876525.0,0.324,555.0,1,2,35.0,3.1,4,Medium
542,Manufacturing,Nakuru,Q2,Working Capital,Secondary,9.9,10,546021.0,399082.0,18,11.51,746797.0,0.818,740.0,2,2,61.0,4.0,6,Medium
543,Manufacturing,Kisumu,Q1,Working Capital,Secondary,4.1,9,3570086.0,3783982.0,24,12.0,,0.885,755.0,1,2,94.1,3.6,3,Medium
544,Services,Nairobi,Q1,Working Capital,Diploma,2.1,2,1434477.0,4738751.0,18,15.84,,0.385,577.0,1,3,28.3,3.6,5,High
545,Services,Nairobi,Q3,Equipment Purchase,Secondary,10.7,6,908914.0,1546757.0,12,21.32,962376.0,0.496,707.0,0,0,75.2,3.4,7,Low
546,Hospitality,Nairobi,Q2,Inventory Financing,Masters,6.6,11,897503.0,2613793.0,24,12.86,,0.086,671.0,2,1,79.0,4.0,9,Low
547,Retail,Other,Q3,Inventory Financing,Secondary,3.0,10,2939569.0,9279559.0,18,15.94,,0.101,647.0,2,2,22.5,2.3,4,Medium
548,Hospitality,Nairobi,Q3,Working Capital,Diploma,4.7,10,1512852.0,3701954.0,18,13.47,4652136.0,0.156,705.0,3,1,90.1,3.4,10,Low
549,Agriculture,Nairobi,Q2,Working Capital,Bachelors,5.3,5,2955628.0,5960144.0,36,17.8,,0.56,637.0,2,0,100.0,3.7,9,Medium
550,Retail,Nairobi,Q1,Working Capital,Masters,2.1,4,1966708.0,1517908.0,36,16.94,,0.553,850.0,1,0,66.0,3.7,2,Low
551,Agriculture,Kisumu,Q3,Working Capital,Diploma,2.5,10,3193894.0,9705439.0,18,15.94,,0.282,596.0,2,1,56.7,3.2,7,High
552,Manufacturing,Kisumu,Q4,Working Capital,Bachelors,12.3,11,2363229.0,7979292.0,48,13.86,,0.326,672.0,2,1,77.3,3.6,6,Medium
553,Retail,Other,Q4,Business Expansion,Diploma,6.4,7,301465.0,362096.0,24,14.56,176883.0,0.305,497.0,0,1,62.4,4.8,2,Medium
554,Retail,Other,Q1,Working Capital,Secondary,5.6,6,4353132.0,8165303.0,36,10.55,,0.552,675.0,2,0,69.2,3.5,8,Medium
555,Retail,Other,Q4,Equipment Purchase,Certificate,5.6,8,809201.0,2717419.0,12,12.4,2330403.0,0.336,573.0,2,0,62.5,4.9,6,Medium
556,Hospitality,Other,Q2,Working Capital,Diploma,4.1,9,4699451.0,10777791.0,24,17.26,,0.381,418.0,1,0,52.5,2.0,8,High
557,Technology,Mombasa,Q1,Inventory Financing,Diploma,5.1,3,1996168.0,5590442.0,12,8.0,,0.601,623.0,0,0,29.0,4.8,7,High
558,Retail,Nairobi,Q1,Business Expansion,Bachelors,9.6,9,1181503.0,1757198.0,24,20.16,2733476.0,0.312,689.0,2,1,88.1,1.9,2,Low
559,Retail,Other,Q4,Working Capital,Diploma,4.0,15,1292087.0,4319699.0,36,12.74,3654448.0,0.507,587.0,0,0,41.6,3.9,7,Low
560,Retail,Nairobi,Q2,Inventory Financing,Certificate,7.8,11,1118579.0,2717588.0,24,17.03,4252632.0,0.547,651.0,2,2,66.1,1.9,5,Low
561,Agriculture,Nakuru,Q4,Working Capital,Diploma,1.0,7,2173867.0,5375262.0,18,20.36,8712253.0,0.378,,1,1,75.7,3.8,6,Low
562,Retail,Nairobi,Q2,Equipment Purchase,Diploma,4.8,7,2517088.0,4312116.0,6,8.0,4959127.0,0.212,651.0,3,0,30.8,4.3,8,Low
563,Agriculture,Other,Q1,Working Capital,Primary,8.1,9,813635.0,1453504.0,48,11.19,,0.415,461.0,3,0,61.5,4.1,4,High
564,Retail,Nairobi,Q3,Equipment Purchase,Secondary,6.0,7,569793.0,483305.0,48,13.07,472791.0,0.157,678.0,4,1,63.3,4.2,3,Low
565,Retail,Mombasa,Q3,Working Capital,Diploma,2.8,9,3990580.0,3681385.0,12,15.67,,0.63,546.0,3,2,58.8,2.0,9,High
566,Services,Nairobi,Q4,Working Capital,Bachelors,7.1,6,2386379.0,2934473.0,60,19.03,,0.304,640.0,2,0,85.2,3.1,4,Low
567,Retail,Other,Q4,Working Capital,Certificate,12.8,9,866055.0,1474415.0,12,21.38,,0.205,637.0,1,1,59.2,3.0,7,Low
568,Manufacturing,Kisumu,Q1,Inventory Financing,Bachelors,0.5,7,3246075.0,2518091.0,36,14.41,2895658.0,0.328,620.0,4,3,42.5,3.5,4,Low
569,Hospitality,Nakuru,Q1,Working Capital,Diploma,5.7,10,3921534.0,5900082.0,36,19.88,,0.503,702.0,1,2,68.4,2.2,7,Medium
570,Hospitality,Nairobi,Q4,Working Capital,Certificate,5.4,7,2480327.0,3436584.0,12,15.07,3700849.0,0.224,561.0,2,1,88.6,3.4,7,Low
571,Services,Nairobi,Q2,Equipment Purchase,Secondary,5.8,8,2554959.0,8710517.0,18,14.65,13403275.0,0.756,607.0,0,0,43.6,2.9,9,Low
572,Retail,Other,Q2,Working Capital,Bachelors,2.1,5,1239059.0,1035096.0,36,18.6,831385.0,0.31,832.0,2,1,30.6,4.1,4,Low
573,Technology,Eldoret,Q1,Working Capital,Masters,11.5,6,304117.0,323309.0,6,13.06,404603.0,0.416,758.0,1,1,73.8,5.0,4,Low
574,Services,Eldoret,Q2,Equipment Purchase,Bachelors,2.2,10,2770312.0,6780755.0,6,11.75,10255776.0,0.317,690.0,1,2,67.7,4.1,5,Low
575,Manufacturing,Other,Q2,Business Expansion,Secondary,4.8,2,1087714.0,654618.0,6,19.23,679342.0,0.616,676.0,3,0,25.7,5.0,8,Medium
576,Retail,Kisumu,Q1,Equipment Purchase,Bachelors,7.8,4,6767754.0,4919963.0,6,16.6,4216518.0,0.298,732.0,3,1,19.6,2.1,4,Low
577,Manufacturing,Nairobi,Q1,Equipment Purchase,Diploma,8.7,7,1467535.0,800945.0,24,15.83,633092.0,0.64,605.0,1,1,28.0,4.6,5,Medium
578,Manufacturing,Kisumu,Q4,Business Expansion,Masters,12.8,10,2895823.0,4718626.0,18,16.46,5273298.0,0.093,544.0,2,0,47.0,2.8,6,Low
579,Services,Nairobi,Q1,Business Expansion,Primary,2.1,9,1067126.0,2939928.0,36,9.59,1450968.0,0.182,627.0,0,1,67.2,3.1,4,Medium
580,Retail,Kisumu,Q2,Working Capital,Bachelors,2.9,7,694906.0,2237289.0,24,17.5,,0.799,574.0,3,0,88.0,3.5,7,High
581,Technology,Mombasa,Q2,Working Capital,Certificate,8.4,9,1357653.0,3021051.0,36,21.36,3040461.0,0.463,679.0,0,1,97.2,3.5,13,Low
582,Services,Kisumu,Q3,Business Expansion,Bachelors,7.4,6,7247479.0,12288461.0,18,15.72,21859855.0,0.799,538.0,1,0,85.1,3.5,9,Low
583,Retail,Other,Q2,Equipment Purchase,Diploma,4.7,13,1830469.0,3528114.0,60,17.56,6153685.0,0.721,638.0,2,1,54.6,3.0,3,Low
584,Hospitality,Other,Q1,Inventory Financing,Primary,0.4,9,477777.0,1058901.0,12,16.44,1074493.0,0.665,638.0,4,1,91.0,3.6,3,Medium
585,Retail,Mombasa,Q3,Working Capital,Diploma,4.8,13,3517075.0,7908798.0,12,19.49,5298978.0,0.179,732.0,1,1,74.6,4.6,1,Low
586,Services,Other,Q3,Equipment Purchase,Diploma,4.5,5,3851048.0,5554500.0,48,17.7,9104071.0,0.151,678.0,2,2,29.7,2.5,2,Low
587,Technology,Other,Q3,Working Capital,Secondary,4.2,13,1059968.0,3124820.0,48,9.12,,0.126,630.0,2,0,91.2,3.7,6,Medium
588,Technology,Eldoret,Q1,Working Capital,Secondary,1.2,8,1837379.0,1659098.0,6,18.23,2010427.0,0.167,574.0,2,1,39.7,3.5,12,Low
589,Manufacturing,Kisumu,Q4,Inventory Financing,Certificate,11.1,10,1957289.0,6590911.0,36,18.78,8511407.0,0.561,798.0,0,1,36.3,3.6,4,Low
590,Manufacturing,Other,Q2,Working Capital,Diploma,1.4,7,1043006.0,1359795.0,36,9.84,,0.253,648.0,2,0,30.7,4.8,6,Low
591,Manufacturing,Mombasa,Q3,Inventory Financing,Certificate,6.8,11,1960569.0,3324042.0,12,15.07,3580741.0,0.154,671.0,1,2,30.8,4.6,8,Low
592,Agriculture,Nairobi,Q3,Inventory Financing,Primary,3.0,8,632133.0,2247411.0,18,18.53,,0.6,641.0,1,2,56.8,3.3,2,High
593,Technology,Nairobi,Q1,Inventory Financing,Secondary,10.7,7,2454696.0,5809196.0,36,20.1,,0.367,657.0,1,0,67.4,2.8,1,Medium
594,Manufacturing,Nakuru,Q1,Working Capital,Diploma,2.7,9,3323795.0,9553725.0,48,13.92,,0.264,600.0,0,0,33.8,4.5,9,Medium
595,Hospitality,Mombasa,Q1,Working Capital,Diploma,2.7,7,1005715.0,1475421.0,36,23.55,,0.751,751.0,2,0,47.6,4.7,7,Medium
596,Agriculture,Mombasa,Q3,Working Capital,Bachelors,9.0,12,2925502.0,7714322.0,6,17.35,9153478.0,0.876,768.0,2,3,83.4,3.1,7,Low
597,Retail,Mombasa,Q2,Working Capital,Certificate,2.2,9,2844895.0,5531536.0,6,16.18,5283691.0,0.628,637.0,3,0,26.8,4.5,5,Low
598,Manufacturing,Nairobi,Q4,Inventory Financing,Secondary,7.8,6,2696994.0,9190178.0,18,17.3,12545371.0,0.543,734.0,3,1,63.3,1.9,7,Low
599,Manufacturing,Nairobi,Q4,Business Expansion,Bachelors,3.5,7,4487132.0,12202949.0,12,17.56,14296166.0,0.072,642.0,4,0,27.8,3.2,6,Low
600,Hospitality,Nairobi,Q1,Working Capital,Secondary,4.7,9,1792092.0,1369520.0,36,18.49,624032.0,0.13,583.0,1,0,78.6,3.2,10,Low
601,Services,Nakuru,Q3,Working Capital,Primary,9.8,10,1173959.0,2638021.0,18,12.89,,0.561,669.0,6,2,58.4,2.1,4,Medium
602,Services,Nairobi,Q2,Business Expansion,Certificate,8.8,10,3153388.0,8745195.0,36,17.81,14022563.0,0.802,785.0,3,1,60.5,3.7,9,Low
603,Hospitality,Mombasa,Q1,Business Expansion,Certificate,3.4,6,2464057.0,4071415.0,24,17.38,2425139.0,0.78,,3,0,25.3,5.0,3,Medium
604,Retail,Other,Q1,Working Capital,Secondary,6.9,11,458469.0,1263255.0,24,24.92,,0.203,548.0,0,1,86.1,2.3,1,Medium
605,Retail,Nakuru,Q4,Business Expansion,Masters,7.1,9,1932205.0,3929008.0,60,17.23,1306608.0,0.937,738.0,4,1,65.9,3.9,7,Medium
606,Retail,Other,Q1,Working Capital,Secondary,8.1,6,1145786.0,1213329.0,18,15.33,,0.266,707.0,2,1,100.0,4.6,7,Low
607,Hospitality,Eldoret,Q2,Working Capital,Secondary,3.3,5,1370668.0,4585833.0,6,13.95,,0.606,670.0,3,2,47.0,2.6,5,High
608,Agriculture,Other,Q2,Working Capital,Diploma,14.4,8,2152107.0,5627312.0,24,16.47,7781853.0,0.135,723.0,7,0,40.8,,8,Low
609,Technology,Nairobi,Q4,Inventory Financing,Secondary,2.8,7,4671523.0,12715516.0,48,15.2,,0.49,588.0,0,0,58.0,3.8,6,Medium
610,Hospitality,Mombasa,Q2,Equipment Purchase,Secondary,1.6,4,2229070.0,4472479.0,18,11.65,7646852.0,0.667,670.0,2,2,59.6,3.1,2,Low
611,Services,Other,Q3,Business Expansion,Certificate,3.9,3,1137261.0,3136086.0,36,12.08,2941205.0,0.167,700.0,2,0,65.2,3.1,7,Low
612,Manufacturing,Mombasa,Q3,Working Capital,Secondary,5.3,9,1244943.0,2021330.0,18,15.11,,0.206,607.0,4,1,37.8,1.7,5,Medium
613,Services,Other,Q2,Equipment Purchase,Diploma,19.6,3,2462912.0,1501359.0,24,14.71,772106.0,0.697,577.0,2,1,25.6,3.7,4,Medium
614,Hospitality,Nairobi,Q4,Business Expansion,Secondary,2.4,7,2235903.0,3521801.0,24,20.46,4476290.0,0.608,696.0,2,1,51.7,2.8,7,Low
615,Retail,Nairobi,Q3,Business Expansion,Diploma,4.6,13,10350496.0,28092682.0,36,18.73,34419186.0,0.314,,1,2,58.1,2.1,6,Low
616,Services,Other,Q3,Inventory Financing,Secondary,3.0,7,939054.0,1408144.0,18,16.08,715343.0,0.1,495.0,2,1,67.3,3.6,10,Medium
617,Retail,Mombasa,Q4,Working Capital,Diploma,5.2,6,1243765.0,3368013.0,60,18.86,3913277.0,0.582,620.0,3,2,67.3,4.0,2,Low
618,Retail,Kisumu,Q2,Working Capital,Masters,4.1,6,3302862.0,5681021.0,24,15.03,5897017.0,0.948,503.0,1,1,100.0,4.8,5,Low
619,Services,Other,Q3,Equipment Purchase,Bachelors,10.8,5,1541275.0,3899251.0,36,12.59,6456316.0,0.526,622.0,2,0,76.0,3.5,6,Low
620,Manufacturing,Nairobi,Q2,Working Capital,Masters,2.5,13,1939330.0,1561325.0,6,10.65,,0.545,530.0,1,0,61.7,3.5,6,Medium
621,Retail,Other,Q2,Inventory Financing,Diploma,3.0,9,609381.0,2004420.0,60,16.08,1283350.0,0.714,635.0,0,0,71.6,4.9,5,Medium
622,Retail,Mombasa,Q3,Equipment Purchase,Secondary,6.9,5,636907.0,1060575.0,48,17.36,1153749.0,0.473,550.0,2,1,72.8,3.2,5,Medium
623,Technology,Nairobi,Q1,Equipment Purchase,Certificate,5.0,5,2780599.0,5918812.0,12,18.92,3754062.0,0.297,596.0,0,0,57.6,4.2,5,Low
624,Retail,Nairobi,Q4,Equipment Purchase,Bachelors,9.8,5,989096.0,845642.0,36,8.04,1007116.0,0.448,550.0,4,1,12.8,3.4,8,Medium
625,Manufacturing,Kisumu,Q4,Equipment Purchase,Secondary,3.2,9,2856882.0,5996049.0,18,13.11,10474500.0,0.476,756.0,3,0,43.5,3.6,7,Low
626,Retail,Mombasa,Q3,Equipment Purchase,Diploma,9.0,11,1381825.0,2356240.0,6,15.82,3984050.0,0.192,633.0,1,1,49.0,3.4,9,Low
627,Services,Other,Q2,Working Capital,Secondary,3.3,7,2134897.0,4920170.0,24,15.15,,0.352,652.0,1,1,50.6,4.7,3,Medium
628,Retail,Nairobi,Q3,Business Expansion,Bachelors,2.6,9,3727968.0,8597924.0,24,9.46,15229811.0,0.169,610.0,2,0,37.3,3.7,8,Low
629,Agriculture,Nairobi,Q2,Working Capital,Certificate,8.6,8,1118621.0,1572453.0,36,15.58,,0.52,645.0,0,0,13.4,4.5,5,Medium
630,Retail,Nairobi,Q1,Inventory Financing,Secondary,5.9,8,1085997.0,730188.0,24,14.57,1024708.0,0.665,590.0,1,1,55.1,3.5,6,Medium
631,Agriculture,Kisumu,Q4,Working Capital,Secondary,5.8,12,3790298.0,7616195.0,60,18.6,4067295.0,0.213,645.0,1,0,89.6,2.8,6,Low
632,Services,Eldoret,Q4,Working Capital,Diploma,2.0,4,1729083.0,925103.0,24,12.37,,0.663,531.0,2,0,52.1,3.2,7,High
633,Retail,Mombasa,Q3,Equipment Purchase,Masters,3.1,8,1578347.0,4179487.0,12,20.55,3600147.0,0.484,730.0,0,0,82.6,3.7,5,Low
634,Hospitality,Kisumu,Q2,Inventory Financing,Diploma,6.0,6,3224062.0,8546964.0,12,12.53,5847542.0,0.457,625.0,3,0,33.5,3.4,3,Low
635,Services,Nakuru,Q4,Equipment Purchase,Bachelors,3.0,7,918251.0,1277319.0,60,20.92,1558122.0,0.116,607.0,0,0,44.5,3.6,8,Low
636,Manufacturing,Nairobi,Q2,Equipment Purchase,Diploma,2.1,7,1673335.0,3557747.0,36,15.69,1897617.0,0.768,686.0,0,0,36.7,5.0,5,Low
637,Hospitality,Nairobi,Q3,Equipment Purchase,Primary,2.9,10,765462.0,2358155.0,36,18.59,1868229.0,0.371,668.0,1,0,35.3,3.3,3,Low
638,Manufacturing,Other,Q4,Working Capital,Diploma,4.7,11,751459.0,2015260.0,18,14.97,,0.508,731.0,1,1,66.1,2.9,4,Medium
